"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"States"	"States Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"New Jersey"	"34"	85
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"New Mexico"	"35"	22
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"New York"	"36"	189
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"North Carolina"	"37"	111
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Ohio"	"39"	135
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Oklahoma"	"40"	40
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Oregon"	"41"	28
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Pennsylvania"	"42"	137
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"South Carolina"	"45"	42
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Tennessee"	"47"	63
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Texas"	"48"	334
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Utah"	"49"	45
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Virginia"	"51"	85
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Washington"	"53"	66
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"West Virginia"	"54"	16
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Wisconsin"	"55"	61
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Alabama"	"01"	37
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Arizona"	"04"	54
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Arkansas"	"05"	25
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"California"	"06"	313
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Colorado"	"08"	49
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Connecticut"	"09"	23
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Florida"	"12"	154
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Georgia"	"13"	85
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Illinois"	"17"	102
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Indiana"	"18"	40
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Iowa"	"19"	20
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Kansas"	"20"	16
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Kentucky"	"21"	32
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Louisiana"	"22"	26
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Maryland"	"24"	53
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Massachusetts"	"25"	40
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Michigan"	"26"	55
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Minnesota"	"27"	38
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Missouri"	"29"	47
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Nebraska"	"31"	19
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"New Jersey"	"34"	70
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"New Mexico"	"35"	17
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"New York"	"36"	152
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"North Carolina"	"37"	88
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Ohio"	"39"	87
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Oklahoma"	"40"	34
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Oregon"	"41"	27
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Pennsylvania"	"42"	93
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"South Carolina"	"45"	34
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Tennessee"	"47"	54
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Texas"	"48"	254
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Utah"	"49"	39
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Virginia"	"51"	50
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Washington"	"53"	56
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Wisconsin"	"55"	46
	"All Invasive Cancer Sites Combined"	"0"	"5-9 years"	"5-9"	"Wyoming"	"56"	0
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Alabama"	"01"	44
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Arizona"	"04"	71
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Arkansas"	"05"	24
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"California"	"06"	370
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Colorado"	"08"	54
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Connecticut"	"09"	36
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Florida"	"12"	179
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Georgia"	"13"	121
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Idaho"	"16"	17
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Illinois"	"17"	129
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Indiana"	"18"	58
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Iowa"	"19"	29
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Kansas"	"20"	37
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Kentucky"	"21"	48
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Louisiana"	"22"	40
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Maryland"	"24"	61
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Massachusetts"	"25"	71
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Michigan"	"26"	76
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Minnesota"	"27"	58
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Mississippi"	"28"	29
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Missouri"	"29"	48
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"New Jersey"	"34"	87
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"New Mexico"	"35"	22
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"New York"	"36"	198
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"North Carolina"	"37"	93
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Ohio"	"39"	104
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Oklahoma"	"40"	43
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Oregon"	"41"	33
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Pennsylvania"	"42"	112
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"South Carolina"	"45"	51
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Tennessee"	"47"	61
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Texas"	"48"	311
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Utah"	"49"	44
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Virginia"	"51"	85
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Washington"	"53"	88
	"All Invasive Cancer Sites Combined"	"0"	"10-14 years"	"10-14"	"Wisconsin"	"55"	60
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Alabama"	"01"	64
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Arizona"	"04"	108
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Arkansas"	"05"	48
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"California"	"06"	601
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Colorado"	"08"	84
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Connecticut"	"09"	46
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Delaware"	"10"	16
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Florida"	"12"	327
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Georgia"	"13"	151
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Idaho"	"16"	23
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Illinois"	"17"	206
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Indiana"	"18"	87
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Iowa"	"19"	57
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Kansas"	"20"	51
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Kentucky"	"21"	87
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Louisiana"	"22"	72
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Maine"	"23"	17
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Maryland"	"24"	83
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Massachusetts"	"25"	97
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Michigan"	"26"	137
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Minnesota"	"27"	87
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Mississippi"	"28"	40
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Missouri"	"29"	87
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Montana"	"30"	16
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Nebraska"	"31"	38
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"New Hampshire"	"33"	24
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"New Jersey"	"34"	152
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"New Mexico"	"35"	36
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"New York"	"36"	334
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"North Carolina"	"37"	128
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Ohio"	"39"	207
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Oklahoma"	"40"	64
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Oregon"	"41"	62
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Pennsylvania"	"42"	204
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Rhode Island"	"44"	16
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"South Carolina"	"45"	59
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Tennessee"	"47"	80
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Texas"	"48"	499
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Utah"	"49"	62
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Virginia"	"51"	122
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Washington"	"53"	115
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"West Virginia"	"54"	35
	"All Invasive Cancer Sites Combined"	"0"	"15-19 years"	"15-19"	"Wisconsin"	"55"	78
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Alabama"	"01"	99
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Arizona"	"04"	142
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Arkansas"	"05"	67
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"California"	"06"	975
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Colorado"	"08"	120
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Connecticut"	"09"	103
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"District of Columbia"	"11"	20
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Florida"	"12"	496
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Georgia"	"13"	246
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Hawaii"	"15"	29
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Idaho"	"16"	49
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Illinois"	"17"	300
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Indiana"	"18"	156
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Iowa"	"19"	80
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Kansas"	"20"	85
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Kentucky"	"21"	108
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Louisiana"	"22"	107
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Maine"	"23"	23
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Maryland"	"24"	141
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Massachusetts"	"25"	154
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Michigan"	"26"	238
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Minnesota"	"27"	125
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Mississippi"	"28"	57
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Missouri"	"29"	139
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Montana"	"30"	20
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Nebraska"	"31"	54
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"New Hampshire"	"33"	25
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"New Jersey"	"34"	233
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"New Mexico"	"35"	33
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"New York"	"36"	617
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"North Carolina"	"37"	260
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Ohio"	"39"	291
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Oklahoma"	"40"	75
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Oregon"	"41"	104
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Pennsylvania"	"42"	325
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Rhode Island"	"44"	23
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"South Carolina"	"45"	91
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"South Dakota"	"46"	17
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Tennessee"	"47"	136
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Texas"	"48"	673
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Utah"	"49"	110
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Virginia"	"51"	170
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Washington"	"53"	179
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"West Virginia"	"54"	37
	"All Invasive Cancer Sites Combined"	"0"	"20-24 years"	"20-24"	"Wisconsin"	"55"	136
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Alabama"	"01"	214
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Alaska"	"02"	33
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Arizona"	"04"	254
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Arkansas"	"05"	117
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"California"	"06"	1662
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Colorado"	"08"	223
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Connecticut"	"09"	138
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Delaware"	"10"	36
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"District of Columbia"	"11"	26
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Florida"	"12"	845
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Georgia"	"13"	429
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Hawaii"	"15"	42
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Idaho"	"16"	67
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Illinois"	"17"	534
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Indiana"	"18"	244
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Iowa"	"19"	145
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Kansas"	"20"	132
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Kentucky"	"21"	192
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Louisiana"	"22"	209
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Maine"	"23"	55
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Maryland"	"24"	235
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Massachusetts"	"25"	291
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Michigan"	"26"	374
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Minnesota"	"27"	208
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Mississippi"	"28"	104
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Missouri"	"29"	235
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Montana"	"30"	43
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Nebraska"	"31"	75
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"New Hampshire"	"33"	50
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"New Jersey"	"34"	392
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"New Mexico"	"35"	85
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"New York"	"36"	1041
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"North Carolina"	"37"	398
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"North Dakota"	"38"	32
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Ohio"	"39"	516
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Oklahoma"	"40"	173
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Oregon"	"41"	157
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Pennsylvania"	"42"	510
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Rhode Island"	"44"	39
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"South Carolina"	"45"	171
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"South Dakota"	"46"	35
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Tennessee"	"47"	281
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Texas"	"48"	1194
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Utah"	"49"	191
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Vermont"	"50"	17
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Virginia"	"51"	286
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Washington"	"53"	312
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"West Virginia"	"54"	72
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Wisconsin"	"55"	209
	"All Invasive Cancer Sites Combined"	"0"	"25-29 years"	"25-29"	"Wyoming"	"56"	23
